Project,RealBugId,slocLoadedClasses,slocTotal
Cli,1,1081,1936
Cli,2,1082,1937
Cli,3,1335,1945
Cli,4,1065,1949
Cli,5,960,1951
Cli,7,1699,3883
Cli,8,412,1975
Cli,9,1119,1984
Cli,10,1230,2001
Cli,11,861,1952
Cli,12,1021,1940
Cli,13,1812,3883
Cli,14,2248,3938
Cli,15,2160,3935
Cli,16,2698,3946
Cli,17,1035,1992
Cli,18,1032,1989
Cli,19,1029,1986
Cli,20,1028,1985
Cli,21,2276,3980
Cli,22,1136,1945
Cli,23,944,1970
Cli,24,846,1974
Cli,25,845,1973
Cli,26,446,1974
Cli,27,1405,2049
Cli,28,1257,2436
Cli,29,33,2478
Cli,30,1694,2485
Cli,31,1036,2502
Cli,32,427,2500
Cli,33,556,2498
Cli,34,1815,2517
Cli,35,1276,2661
Cli,36,700,2665
Cli,37,1286,2671
Cli,38,1292,2677
Cli,39,1547,2752
Cli,40,247,2790
Codec,1,1324,2584
Codec,2,544,2839
Codec,3,793,2971
Codec,4,469,2994
Codec,5,661,2995
Codec,6,597,3223
Codec,7,630,3227
Codec,8,522,3212
Codec,9,457,3761
Codec,10,109,3458
Codec,11,283,4554
Codec,12,959,4761
Codec,13,798,5828
Codec,14,1036,5899
Codec,15,153,6603
Codec,16,489,6589
Codec,17,114,7950
Codec,18,125,7953
Collections,25,957,26409
Collections,26,81,27596
Collections,27,425,27596
Collections,28,1808,28533
Compress,1,2099,6740
Compress,2,2204,7139
Compress,3,4139,7348
Compress,4,3577,7354
Compress,5,1282,7534
Compress,6,247,7576
Compress,7,101,8324
Compress,8,110,8365
Compress,9,4088,11219
Compress,10,5595,11523
Compress,11,3592,11616
Compress,12,4170,11620
Compress,13,3568,11624
Compress,14,1176,11628
Compress,15,1387,12192
Compress,16,4992,12221
Compress,17,1678,12317
Compress,18,4903,12331
Compress,19,3568,14767
Compress,20,4419,15049
Compress,21,7654,17168
Compress,22,2361,17140
Compress,23,7152,17128
Compress,24,503,17156
Compress,25,3217,17153
Compress,26,67,17471
Compress,27,500,17524
Compress,28,1632,17520
Compress,29,8068,18562
Compress,30,2349,18582
Compress,31,5412,18585
Compress,32,2154,18692
Compress,33,3795,18692
Compress,34,648,18739
Compress,35,7690,19306
Compress,36,7710,19410
Compress,37,1725,19417
Compress,38,1727,19419
Compress,39,4358,19451
Compress,40,57,19451
Compress,41,8353,20231
Compress,42,5413,20806
Compress,43,5838,22428
Compress,44,42,22599
Compress,45,496,22609
Compress,46,363,22732
Compress,47,3191,23285
Csv,1,634,806
Csv,2,59,1121
Csv,3,926,1155
Csv,4,911,1215
Csv,5,612,1234
Csv,6,1005,1245
Csv,7,1007,1247
Csv,8,378,1268
Csv,9,1027,1267
Csv,10,636,1273
Csv,11,1067,1309
Csv,12,1058,1300
Csv,13,1419,1420
Csv,14,840,1533
Csv,15,907,1621
Csv,16,1501,1632
Gson,1,4374,5378
Gson,2,5069,7263
Gson,3,5155,7280
Gson,4,1431,7639
Gson,5,644,7629
Gson,6,5423,7631
Gson,7,5219,7634
Gson,8,61,7652
Gson,9,310,7665
Gson,10,5451,7693
Gson,11,5482,7784
Gson,12,2368,7790
Gson,13,1116,7797
Gson,14,5570,7797
Gson,15,319,7826
Gson,16,5496,7826
Gson,17,2051,7836
Gson,18,6057,7883
